DrawNo_From,DrawNo_Target,DrawIndex_Target,TargetDate,TargetDayType,DigitSum_P10,DigitSum_P90,Top1,Top2,Top3,Top4,Top5,ActualWinners,HitCount,Hits
4203,4204,4135,2017-12-26,Wednesday,11,25,2931,1299,9696,1209,1309,0110|0206|0277|0324|0415|2280|2325|2965|3261|3286|4821|6057|6199|6526|6706|6717|7143|7518|7562|8343|8779|9186|9503,0,
4204,4205,4136,2017-12-29,Saturday,11,25,9060,1856,5520,2846,0846,0149|0506|1470|2105|2387|2447|3595|3913|5647|5702|5899|6438|7073|7182|7641|8141|8142|8552|8791|8812|8896|8927|8988,0,
4205,4206,4137,2017-12-30,Sunday,10,25,5930,0307,5025,1307,1217,0292|0567|0683|0829|0983|1264|1324|1375|2238|3625|4573|4676|4695|4778|5498|6350|6522|7633|7905|8524|9415|9836|9909,0,
4206,4207,4138,2018-01-02,Wednesday,11,25,2926,3217,1036,1016,2206,0905|1046|2274|2638|3135|3199|3206|3346|3794|3942|4286|4450|4633|5137|6490|6708|7507|7656|7978|8569|9193|9482|9897,0,
4207,4208,4139,2018-01-05,Saturday,11,25,6821,2027,6432,3027,0007,0032|0565|0797|1953|2984|3095|3268|3937|4345|4353|5158|5478|5635|5665|5749|5844|6327|8107|8427|8487|8557|8750|9695,0,
4208,4209,4140,2018-01-06,Sunday,10,25,3732,1189,9464,0179,1179,0644|0671|1036|1077|1575|2027|2175|2346|2669|3503|3860|4430|4638|5352|6269|6511|6918|7227|7312|7328|8607|9146|9596,0,
4209,4210,4141,2018-01-09,Wednesday,11,25,2186,0204,8250,3394,2394,0095|1270|1820|2102|2355|2472|2924|3486|3984|4248|4644|5053|5101|5158|6158|6215|6290|6528|6745|7210|7497|7918|9471,0,
4210,4211,4142,2018-01-12,Saturday,11,25,7642,3360,7856,0804,3814,0211|0228|0389|0436|0709|1277|1907|2251|2525|3397|3671|4937|5262|5588|5660|6083|6981|8249|8450|8946|9101|9261|9803,0,
4211,4212,4143,2018-01-13,Sunday,10,25,5632,3968,8912,1968,3969,0109|0381|0523|1345|1393|1441|1763|2017|2374|2894|3238|3333|4038|4179|4455|5062|5820|5850|6488|6549|6710|8364|9756,0,
4212,4213,4144,2018-01-16,Wednesday,11,25,3186,2107,4927,3107,3207,0045|0287|0613|0646|0676|0998|1094|1410|1533|2021|2418|3163|3178|3233|3277|3651|3658|5789|6778|6829|7343|8973|9668,0,
4213,4214,4145,2018-01-19,Saturday,11,25,5258,1507,5230,0537,1607,0305|0509|0801|1190|2555|2972|3544|3588|4532|4573|4635|4651|4962|5719|6530|6912|7040|7056|8488|8844|9110|9834|9911,0,
4214,4215,4146,2018-01-20,Sunday,10,25,5838,1652,7063,1763,1762,0353|0841|1570|2839|3503|3552|3855|3907|4131|4232|4337|4493|4655|4955|4996|5753|7052|7178|7444|7460|8291|9090|9576,0,
4215,4216,4147,2018-01-23,Wednesday,11,25,0686,0269,1830,0595,1269,0236|0999|1653|2326|2519|2598|2802|3448|3995|4180|4969|5100|5218|5633|5683|5699|6787|6792|6893|6901|6905|8355|9112,0,
4216,4217,4148,2018-01-26,Saturday,11,25,6191,2918,5230,1314,3038,0154|0188|1348|1351|2048|2433|2709|3393|3954|4156|4276|4762|4929|6265|6486|7388|7516|8365|8662|8919|9037|9199|9965,0,
4217,4218,4149,2018-01-27,Sunday,10,25,5932,0742,7307,2741,2742,0347|0763|1033|1489|1690|3602|3954|4359|4387|4749|5141|5510|5962|6400|7003|8097|9090|9184|9537|9583|9594|9753|9864,0,
4218,4219,4150,2018-01-30,Wednesday,11,25,2926,1385,6261,1422,1425,0213|0680|0925|1044|1736|2499|2619|3204|3706|4061|4519|5387|5922|6099|6436|7858|7889|8160|8218|8714|8752|9551|9820,0,
4219,4220,4151,2018-02-02,Saturday,11,25,8154,1718,7154,1818,3626,0025|0523|1254|1695|2374|2805|3849|4832|5112|5284|5383|6012|6615|6642|6681|6796|6998|7063|7655|7700|8655|8873|9358,0,
4220,4221,4152,2018-02-03,Sunday,10,25,5802,3978,2241,1078,3520,0280|0526|1111|1579|1787|2478|2522|2700|3163|3628|3884|3889|4492|4653|5519|6809|6880|7237|7954|8451|8511|9575|9801,0,
4221,4222,4153,2018-02-06,Wednesday,11,25,0686,0814,0418,0474,0823,0866|0922|1313|1657|1740|2008|2150|3661|4522|4887|5183|5494|5660|5799|5900|5980|6067|7461|8340|8576|8632|9459|9599,0,
4222,4223,4154,2018-02-09,Saturday,11,25,8340,2715,2427,2425,2625,0337|0875|1017|1080|1947|2195|2205|2297|2642|3220|3250|3309|4661|5114|5648|5878|5962|6897|7597|8359|8439|8874|9331,0,
4223,4224,4155,2018-02-10,Sunday,10,25,4409,2077,9629,2076,2067,0040|0836|2537|2587|2984|3017|3493|3740|4597|4601|5037|5323|5930|5943|6324|6462|7100|7429|7945|8413|8464|9061|9844,0,
4224,4225,4156,2018-02-13,Wednesday,11,25,2186,0277,4729,0177,0226,0382|1453|1709|1858|2044|2797|2821|3019|3965|4660|5038|6517|6804|6856|7347|7509|7945|8035|8549|8712|9049|9206|9403,0,
4225,4226,4157,2018-02-16,Saturday,11,25,3391,1087,8463,0384,2377,0076|0136|0969|2064|2303|2341|2636|2718|2957|3343|3375|4936|5314|5338|5950|6086|6607|7690|8728|8769|8957|9506|9526,0,
4226,4227,4158,2018-02-17,Sunday,10,25,5532,2307,3068,3307,1415,0111|0954|1027|1910|2175|3004|3441|3642|3803|4272|4431|4527|4992|5700|5737|6006|6569|6906|6967|7146|7618|8115|8740,0,
4227,4228,4159,2018-02-20,Wednesday,11,25,6506,1382,5933,3382,1182,0379|0674|0796|0827|1533|1570|1608|1791|1956|2574|2667|2960|4008|4567|5902|6044|6235|6404|6835|7571|8708|9264|9438,0,
4228,4229,4160,2018-02-23,Saturday,11,25,8358,2082,3768,2089,3836,0233|0439|0597|0976|1052|1385|2858|3041|4034|4075|4128|4649|5729|6529|6617|6862|7080|7489|7866|7899|8561|9167|9449,0,
4229,4230,4161,2018-02-24,Sunday,10,25,5545,0186,4519,2286,2186,1027|1330|2731|3416|3731|4299|5263|5711|5757|6263|6576|7064|7349|7479|7707|7789|8097|8327|8481|9064|9683|9703|9903,0,
4230,4231,4162,2018-02-27,Wednesday,11,25,0286,0262,9614,0362,0364,0071|0262|0685|1601|2497|2592|2631|3004|3265|3750|4144|4817|4987|5382|6284|6328|6893|7003|7984|8591|9464|9892,1,0262
4231,4232,4163,2018-03-02,Saturday,11,25,3391,3370,3332,3358,3158,0412|0810|0852|1224|2296|2476|2680|2685|3255|3584|4525|4765|4800|5421|5927|6228|6281|6444|7504|7703|8381|9325|9645,0,
4232,4233,4164,2018-03-03,Sunday,10,25,5963,0857,3827,3857,3858,0645|0749|1182|1337|1803|2414|2418|3925|4130|5184|5219|5250|5773|5954|5955|5994|6349|7626|8108|8496|8561|8631|8757,0,
4233,4234,4165,2018-03-06,Wednesday,11,25,0648,1140,5817,1018,3141,0510|1381|1398|1756|2118|2299|2331|3586|3961|4024|4325|4505|4903|4957|5256|5960|6358|6490|6996|8488|8576|9861|9940,0,
4234,4235,4166,2018-03-09,Saturday,11,25,3358,3641,8311,2487,2287,0470|0870|0901|1065|1246|1274|1494|2592|2603|3406|3559|3916|4302|4455|4687|5065|5456|7035|7084|9216|9685|9721|9744,0,
4235,4236,4167,2018-03-10,Sunday,10,25,5533,2313,8658,0313,2411,0271|0694|1557|1977|2388|2705|2821|2828|2979|3993|4178|4427|4867|5669|6311|6862|7290|7816|8088|8589|8909|9143|9889,0,
4236,4237,4168,2018-03-13,Wednesday,11,25,2186,0398,5492,1398,1388,0290|0933|1221|1932|2238|2811|3067|4111|5190|5228|5763|5917|5947|6525|6837|7299|7316|7732|8074|8296|8318|8596|9929,0,
4237,4238,4169,2018-03-16,Saturday,11,25,3356,0293,8685,2293,3393,0145|0370|0671|0681|0791|0901|1363|1590|2035|2316|5567|5659|5772|6013|6289|7450|7503|7734|7873|8707|9052|9545|9830,0,
4238,4239,4170,2018-03-17,Sunday,10,25,5909,1212,8074,3231,1130,0150|0652|0733|0868|0927|1423|1781|2086|2313|3209|3576|3621|5450|6007|7476|7989|8044|8152|8511|8963|8978|9185|9608,0,
4239,4240,4171,2018-03-20,Wednesday,11,25,5931,1356,1810,1256,0366,0551|1424|1872|2089|2975|3245|3277|3683|3718|4408|4511|4845|5263|5865|6256|6263|6733|7849|7867|8041|9098|9531|9813,0,
4240,4241,4172,2018-03-23,Saturday,11,25,3356,2159,0538,1366,0059,0264|0477|1368|1582|2067|2202|2394|2425|2655|2708|2849|3510|4032|5332|6129|6424|6864|6915|7983|9357|9893|9960|9993,0,
4241,4242,4173,2018-03-24,Sunday,10,25,3139,3051,2297,0251,0241,0430|0771|2070|2206|2562|3553|3569|4128|4426|4572|5161|5214|5293|6208|6310|6631|7375|7998|8292|8411|8560|9352|9804,0,
4242,4243,4174,2018-03-27,Wednesday,11,25,2186,1093,7114,3093,1073,0121|0451|0819|1281|1369|2085|2377|3025|3062|3835|4030|5774|6213|6736|6756|6921|7083|7925|8082|8117|8404|8415|9775,0,
4243,4244,4175,2018-03-30,Saturday,11,25,5742,1075,7570,1095,3265,1036|1658|1924|1952|2070|2924|3523|3660|4580|4750|5784|6294|6487|6875|7228|7330|8761|8795|9309|9523|9570|9920|9983,0,
4244,4245,4176,2018-03-31,Sunday,10,25,5963,8953,2156,0903,0893,0035|0259|0322|0488|0901|1499|1541|2365|3589|3937|4144|4309|4474|4543|4787|6156|6619|6778|7467|7606|8117|8543|9306,0,
4245,4246,4177,2018-04-03,Wednesday,11,25,1763,0245,7030,1144,2245,1102|1378|1740|1919|2608|2733|2952|3257|3368|3377|4040|5599|5659|5747|5782|5941|6244|6929|6930|7742|8598|9031|9185,0,
4246,4247,4178,2018-04-06,Saturday,11,25,9941,2393,1487,2283,2083,0115|0461|1018|1854|3159|3267|3514|3827|4333|4784|5072|5396|5535|5773|6063|6582|6658|7149|7369|7537|7721|7825|8272,0,
4247,4248,4179,2018-04-07,Sunday,10,25,5963,3655,4786,1655,0665,0361|1449|1775|2343|2852|3141|3344|3453|3687|4263|4655|4743|4771|4810|5284|6143|6878|7526|7935|7968|7997|8626|9384,0,
4248,4249,4180,2018-04-10,Wednesday,11,25,3286,0588,9936,1588,1689,0396|1701|2639|3271|3326|3502|4157|4303|4393|4626|4996|5278|6204|6296|6642|7001|7796|8022|8181|8836|9124|9669|9942,0,
4249,4250,4181,2018-04-13,Saturday,11,25,0965,1359,5342,1159,2359,0845|0863|1299|1876|2111|2807|3251|3489|3532|3671|3851|4843|5212|5613|6371|6506|7959|8445|8682|9210|9381|9562|9964,0,
4250,4251,4182,2018-04-14,Sunday,10,25,3139,1871,1136,2846,0862,0005|0545|0981|1557|1613|1659|2616|2933|3912|4176|4277|5139|6083|6295|6389|6734|7176|7443|8830|9129|9229|9832|9999,0,
4251,4252,4183,2018-04-17,Wednesday,11,25,2913,1740,0708,3648,2740,0615|0704|1101|1141|2011|3073|3603|5168|5491|5652|5854|5908|5958|6097|6916|7240|7649|7731|7926|8107|8313|8778|9292,0,
4252,4253,4184,2018-04-20,Saturday,11,25,3354,1257,0469,0257,0057,0192|0461|0465|2251|4115|4194|4678|5369|6252|6988|7117|7299|7523|7608|7681|7703|7733|8464|8678|8803|8843|8884|9350,0,
4253,4254,4185,2018-04-21,Sunday,10,25,5543,0805,5799,1796,0985,0285|0335|0494|1685|1766|2309|2726|3328|3388|3399|3640|4376|4862|5104|5732|6292|6922|7269|7480|7674|7810|9707|9796,0,
4254,4255,4186,2018-04-24,Wednesday,11,25,0619,0282,9261,0281,0203,0151|0485|0579|1262|1478|1726|2392|2826|3109|3360|3774|5360|5486|6142|6726|7481|7619|7996|8224|8621|8644|8707|9119,0,
4255,4256,4187,2018-04-27,Saturday,11,25,5742,2237,2025,2021,2120,0021|0152|0264|0606|2488|2568|2747|3029|3352|4954|5442|5954|6074|6453|6456|6632|7132|8753|8936|9196|9433|9605|9801,0,
4256,4257,4188,2018-04-28,Sunday,10,25,2375,1386,1256,3256,3286,0527|0617|0915|1619|1874|2670|4246|4396|5372|6045|6138|6285|6526|6854|7459|7860|7927|8192|8503|8777|9129|9187|9498,0,
4257,4258,4189,2018-05-01,Wednesday,11,25,2908,0815,0708,3613,3713,1249|3694|3933|4021|4432|4766|5001|5104|5272|5599|5751|6458|6921|6957|7050|7599|7687|8256|9589|9811|9841|9896|9957,0,
4258,4259,4190,2018-05-04,Saturday,11,25,4355,0311,3977,0216,0214,1728|1862|1977|2685|3011|3390|3949|4146|4183|4809|5495|6145|6677|7011|7371|7553|7747|7846|9158|9466|9615|9621|9843,0,
4259,4260,4191,2018-05-05,Sunday,10,25,0963,0547,0217,0544,3547,0505|0672|1264|2324|2515|2989|3582|3632|4545|4582|5699|6078|7162|7710|7814|8483|8632|8926|8932|9351|9483|9764|9926,0,
4260,4261,4192,2018-05-08,Wednesday,11,25,2926,1557,2129,1568,1368,0197|0860|0874|1307|1352|1543|1631|2333|2432|2946|2954|3236|3426|4019|4079|6411|7350|7603|8864|9041|9223|9895|9983,0,
